skill_id,skill_name,appearance_in_description,appearance_in_skill,skill_group
1,Ad Serving,1,8,Social Media/Digital
2,Campaigns,262,71,Strategy/Planning/Management
3,Digital Marketing,83,42,Graphic Design/Visual
4,Digital Media,12,3,Graphic Design/Visual
5,Marketing,597,192,Strategy/Planning/Management
6,Marketing Campaigns,126,41,Strategy/Planning/Management
7,Revenue Generation,1,2,Other
8,Search Engine Marketing (SEM),0,3,Social Media/Digital
9,Search Engine Optimization (SEO),2,19,Technology
10,VBA Excel,0,2,Other
11,Event Marketing,13,5,Strategy/Planning/Management
13,Networking,42,5,Communication
14,Presentation Skills,31,10,Communication
15,Public Speaking,21,4,Communication
16,Relationship Building,16,8,Sales
17,Sales and Marketing,82,39,Sales
18,Social Media,181,77,Social Media/Digital
19,Sports,45,4,Other
20,B2B Marketing,6,1,Strategy/Planning/Management
21,Business-to-Business (B2B),1,9,Strategy/Planning/Management
23,Go-to-Market Strategy,6,3,Market Research
24,Marketing Analytics,6,19,Quantitative/Analytics
26,Marketing Mix Modeling,0,1,Quantitative/Analytics
27,Marketing Partnerships,1,1,Strategy/Planning/Management
28,Messaging,47,6,Other
29,Problem Solving,28,47,Strategy/Planning/Management
30,Adobe Creative Suite,30,9,Graphic Design/Visual
31,Adobe Illustrator,6,3,Graphic Design/Visual
32,Adobe InDesign,9,4,Graphic Design/Visual
33,Adobe Photoshop,8,2,Graphic Design/Visual
34,After Effects,1,1,Other
35,Creative Marketing,11,1,Strategy/Planning/Management
36,Graphics,43,5,Graphic Design/Visual
37,High Energy Level,0,1,Other
38,Music Lover,1,1,Other
39,Social Trends,1,1,Social Media/Digital
40,Brand Management,17,9,Brand
42,Interactive Advertising,0,1,Other
43,Market Share,32,3,Market Research
46,Passionate about Work,1,2,Other
47,Strategy,179,23,Strategy/Planning/Management
48,Teamwork,35,41,Communication
49,Training,366,25,Other
50,Employee Benefits,13,3,Strategy/Planning/Management
51,Marketing Management,9,6,Strategy/Planning/Management
52,Skill Development,0,7,Technology
54,Market Research,69,27,Market Research
55,Marketing Communications,45,24,Communication
56,Online Marketing,6,5,Strategy/Planning/Management
57,Public Relations,79,60,Communication
60,Social Media Marketing,17,45,Social Media/Digital
66,Google Ads,13,5,Other
72,Community Engagement,13,3,Communication
73,Community Outreach,13,2,Communication
74,Customer Experience,41,7,Sales
75,Events,266,15,Strategy/Planning/Management
76,Hospitality Industry,6,1,Other
78,Product Demonstration,4,4,Other
81,Volunteering,2,1,Other
82,Competitive Analysis,7,1,Market Research
84,Email Marketing,40,12,Communication
85,Klaviyo,6,1,Social Media/Digital
86,Market Segmentation,0,2,Market Research
88,Marketing Automation,20,4,Social Media/Digital
89,Marketing Campaign Plans,0,1,Strategy/Planning/Management
91,Performance Reviews,4,2,Other
92,Attention to Detail,136,20,Other
93,Cyber Risk Management,1,1,Strategy/Planning/Management
94,Data Cleaning,0,1,Quantitative/Analytics
95,Data Entry,34,5,Quantitative/Analytics
96,Data Integrity,4,2,Quantitative/Analytics
97,Deduplication,2,1,Other
98,Maturity Assessments,1,1,Quantitative/Analytics
99,Online Data Entry,0,2,Quantitative/Analytics
101,Content Management,27,7,Content/Writing
102,Digital Strategy,4,1,Graphic Design/Visual
103,Knowledge Acquisition,0,2,Other
105,Public Access,0,1,Communication
107,Relationship Development,2,5,Sales
108,Social Media Content Creation,1,2,Content/Writing
109,Web Content Writing,0,9,Content/Writing
110,Working Experience,5,4,Graphic Design/Visual
111,Campaign Strategies,10,3,Strategy/Planning/Management
113,Computer Literacy,2,11,Other
115,Nonprofit Organizations,1,1,Other
116,Office 365,4,1,Other
119,Special Events,37,5,Strategy/Planning/Management
120,Editing,85,9,Graphic Design/Visual
121,Graphic Design,54,12,Graphic Design/Visual
122,Hotel Management,1,1,Strategy/Planning/Management
123,Key Performance Indicators,8,8,Strategy/Planning/Management
124,Paid Social Media,2,2,Social Media/Digital
125,Proofreading,24,5,Content/Writing
126,Property Management,5,1,Strategy/Planning/Management
127,Sales Processes,2,8,Sales
129,Adobe Acrobat,2,2,Graphic Design/Visual
135,Marketing Materials,77,20,Content/Writing
136,Newsletters,53,6,Content/Writing
137,Online Research,4,1,Market Research
138,Organization Skills,13,50,Strategy/Planning/Management
139,Business Relationship Management,0,9,Strategy/Planning/Management
142,Project Implementation,0,3,Strategy/Planning/Management
144,Request for Proposal (RFP),0,1,Brand
145,Unanet,1,1,Social Media/Digital
146,Writing,125,35,Content/Writing
148,Copywriting,35,12,Content/Writing
149,Creative Writing,2,3,Content/Writing
151,Journalism,28,6,Content/Writing
152,Merchandising,27,8,Sales
153,Microsoft Outlook,4,3,Other
155,User Research,0,1,Other
157,Administration,54,13,Strategy/Planning/Management
160,Event Planning,19,12,Strategy/Planning/Management
161,Office Equipment,29,3,Other
162,Sales Operations,4,6,Sales
165,Spreadsheets,12,3,Other
167,Critical Thinking,13,8,Strategy/Planning/Management
168,Digital Campaigns,14,1,Graphic Design/Visual
169,Direct Marketing,29,6,Sales
171,Marketing Programs,45,1,Strategy/Planning/Management
172,Print Collateral,3,1,Other
173,Print Marketing,3,1,Content/Writing
174,Thinking Skills,7,4,Strategy/Planning/Management
175,Vendor Relations,3,2,Other
180,Google Analytics,53,4,Quantitative/Analytics
185,Web Analytics,14,8,Quantitative/Analytics
186,Branding,41,15,Brand
188,Local Marketing,3,1,Other
191,Product Promotion,3,1,Other
193,Skilled Multi-tasker,0,15,Other
194,Strategic Initiatives,6,1,Strategy/Planning/Management
198,Integrated Marketing,13,2,Strategy/Planning/Management
199,Market Planning,0,16,Market Research
203,Written Communication,76,17,Communication
205,Creative Briefs,4,2,Other
206,Flawless Execution,4,1,Strategy/Planning/Management
207,Gatekeeper,4,2,Other
209,Marketing Campaign Management,1,8,Strategy/Planning/Management
211,Test Planning,1,1,Technology
212,Test Requirements,1,1,Other
213,Bloomreach,1,1,Other
214,Braze,3,1,Other
215,Cross-Channel Marketing,1,1,Strategy/Planning/Management
217,Establishing Priorities,1,1,Other
221,Multi-Channel Marketing,0,1,Strategy/Planning/Management
222,Project Performance,2,1,Strategy/Planning/Management
223,Business Development,59,7,Strategy/Planning/Management
224,Client Relations,44,15,Sales
225,Leadership,211,21,Strategy/Planning/Management
228,Sales Marketing,3,1,Sales
231,Team Leadership,12,6,Strategy/Planning/Management
232,Blogging,2,2,Content/Writing
233,Business Administration,21,1,Strategy/Planning/Management
234,Content Marketing,24,5,Content/Writing
239,Marketing Copy,5,3,Content/Writing
240,Narrative,5,1,Content/Writing
242,Analytics,109,31,Quantitative/Analytics
243,Business Strategy,4,1,Strategy/Planning/Management
244,Coordinating Activities,12,4,Strategy/Planning/Management
245,Interpersonal Skills,77,37,Communication
246,Market Analysis,2,5,Market Research
249,Product Marketing,19,17,Strategy/Planning/Management
250,Sales Execution,1,1,Sales
251,ClickUp,0,1,Other
255,Marketing Agencies,2,1,Other
256,Phone Etiquette,2,11,Communication
257,Photo Shoots,7,2,Other
258,Pivot Tables,1,3,Quantitative/Analytics
260,Task Completion,0,1,Other
262,Lead Generation,44,11,Sales
266,Marketing Metrics,5,1,Strategy/Planning/Management
267,Networking Events,7,2,Communication
268,Pay Per Click (PPC),0,1,Other
269,Product Branding,1,1,Brand
270,Campaign Effectiveness,3,3,Strategy/Planning/Management
271,Commercial Awareness,4,2,Brand
272,Inside Sales,4,1,Sales
274,Media Management,22,4,Social Media/Digital
275,Presentations,103,50,Communication
278,Social Media Management,22,4,Social Media/Digital
280,Census,8,2,Other
281,English,43,5,Other
282,Key Metrics,7,2,Strategy/Planning/Management
283,Marketing Budget Management,1,2,Strategy/Planning/Management
287,Story,83,3,Social Media/Digital
290,Interpersonal Relationships,0,1,Communication
301,Media Relations,7,6,Social Media/Digital
302,Multimedia Marketing Campaigns,2,1,Strategy/Planning/Management
303,Press Releases,25,17,Other
308,Direct Response Marketing,2,1,Sales
313,Paid Media Advertising,0,3,Social Media/Digital
314,Promotional Videos,1,1,Graphic Design/Visual
316,Collateral,68,3,Other
317,Content Creation,26,4,Content/Writing
318,Content Development,9,3,Content/Writing
321,Marketing Operations,6,4,Strategy/Planning/Management
322,Online Reputation Management,1,1,Strategy/Planning/Management
323,Operations Processes,1,1,Other
324,Social Media Optimization (SMO),0,2,Social Media/Digital
325,Subject Matter Experts,11,2,Other
327,Customer Service,222,37,Sales
329,Mathematics,4,3,Quantitative/Analytics
330,Open Platform Communication (OPC),0,1,Communication
334,Tour Production,1,1,Other
336,Photography,19,2,Graphic Design/Visual
343,YouTube,19,1,Social Media/Digital
344,Expense Reports,10,6,Quantitative/Analytics
345,Expenses,20,6,Strategy/Planning/Management
346,Lead Qualification,0,4,Sales
350,Project Initiation,1,1,Strategy/Planning/Management
351,Sales Meetings,9,4,Sales
353,Analytical Skills,33,9,Quantitative/Analytics
354,Customer Relationship Management (CRM),6,5,Sales
357,Research Skills,4,5,Communication
360,Face-to-face Marketing,2,1,Sales
361,Goal Setting,3,1,Strategy/Planning/Management
366,Team Development,7,1,Strategy/Planning/Management
369,Dispositions,2,1,Other
371,General Public,2,1,Communication
379,ESPPs,0,2,Other
383,Salesforce.com,4,2,Quantitative/Analytics
384,Salesforce.com Development,0,1,Quantitative/Analytics
385,Technical Execution,1,1,Other
391,Internal Customers,2,1,Other
392,Multitasking,13,8,Other
393,Oral Communication,18,23,Communication
395,Customer Engagement,16,3,Sales
397,Customer Loyalty,11,1,Sales
400,Product Training,6,1,Other
404,Brand Development,0,1,Brand
409,Negotiation,26,21,Sales
412,Advertising,152,22,Other
415,Landing Pages,19,3,Other
416,Marketing Documents,2,1,Content/Writing
417,Optimization,36,23,Technology
420,React.js,0,1,Technology
421,Sales Presentations,9,6,Sales
423,Alumni Relations,2,2,Communication
424,Benchmarking,6,2,Strategy/Planning/Management
425,Health Assessment,1,1,Other
426,Media Planning,5,2,Social Media/Digital
427,Paid Advertising,7,1,Other
430,Student Recruiting,0,1,Other
431,Acute Care,2,1,Other
433,Easily Adaptable,0,3,Other
434,Long-term Care,8,1,Other
435,Managed Care,3,2,Other
438,Nursing,10,1,Other
440,Creativity and Innovation,1,2,Other
443,Psychology,10,1,Other
445,Self-confidence,2,1,Other
446,Sociology,1,1,Other
447,Sports Management,5,1,Strategy/Planning/Management
448,Strategic Communications,1,15,Communication
452,Content Strategy,9,5,Content/Writing
453,Creative Agencies,6,1,Other
455,Organic Search,3,1,Other
461,Magazine Articles,0,1,Other
467,Technical Requirements,0,1,Other
468,Trade Shows,19,1,Other
472,E-newsletter,2,1,Other
475,Online Advertising,2,1,Other
481,Digital Communication,21,5,Graphic Design/Visual
482,Growth Strategies,21,5,Strategy/Planning/Management
488,Web Conferencing,0,6,Technology
529,Customer Retention,18,6,Sales
532,New Leads,7,2,Other
541,Creative Problem Solving,2,2,Strategy/Planning/Management
543,Information Design,1,1,Graphic Design/Visual
549,Marketing Support,7,1,Strategy/Planning/Management
552,Audio Conferencing,0,8,Graphic Design/Visual
554,Field Marketing,21,5,Sales
557,Promotional Marketing,15,3,Sales
562,Professional Skills,0,2,Communication
569,Graphic Design Software,5,2,Graphic Design/Visual
571,Media Engagement,3,1,Social Media/Digital
572,Media Marketing,19,45,Social Media/Digital
574,Video Editing,11,2,Graphic Design/Visual
575,Corporate Financial Reporting,0,2,Quantitative/Analytics
579,Itineraries,16,2,Other
580,Organizing Meetings,3,1,Other
583,Basic Math,3,1,Quantitative/Analytics
584,Grammar,21,4,Content/Writing
585,Grief Counseling,0,1,Communication
589,Punctuation,3,1,Other
590,Spelling,5,2,Content/Writing
591,Strategic Thinking,5,4,Strategy/Planning/Management
593,Flow Charts,0,1,Other
603,Broker Opinion of Value,1,1,Other
604,Case Studies,12,2,Quantitative/Analytics
605,Client Presentation,3,1,Sales
613,Information Gathering,1,1,Other
615,Marketing Reporting,1,1,Quantitative/Analytics
616,Microsoft PowerPoint,1,4,Other
618,Technical Writing,2,1,Content/Writing
620,Business Writing,2,1,Content/Writing
622,Cultural Competency,1,1,Other
623,Intercultural Awareness,0,1,Other
624,Intercultural Skills,0,1,Communication
632,Company Newsletters,2,1,Content/Writing
644,Influencer Marketing,3,1,Strategy/Planning/Management
648,Performance Analysis,2,1,Quantitative/Analytics
649,Timelines,40,1,Other
655,Property Inspections,0,1,Other
657,Virtual Tours,1,1,Other
658,Brand Marketing,32,5,Brand
660,Customer Acquisition,41,15,Sales
665,Visual Merchandising,8,6,Graphic Design/Visual
666,Adjudication,1,1,Other
667,Conflict Of Interest,1,1,Communication
668,Disclosure,6,1,Other
670,Government Ethics,1,1,Other
671,Project Plans,8,1,Strategy/Planning/Management
672,Public Law,2,1,Other
673,Supervisory Skills,0,3,Communication
674,Training Programs,10,2,Other
675,U.S. Department of Agriculture (USDA),0,1,Other
676,Brand Strategy,7,4,Brand
680,MLRO,1,1,Other
685,Quality Processes,1,1,Other
689,HTML Emails,0,1,Quantitative/Analytics
693,Mass Email Marketing,1,1,Communication
694,Web Technologies,3,1,Technology
695,Direct Sales,10,2,Sales
697,Internet Access,7,1,Other
706,Data Reporting,0,1,Quantitative/Analytics
708,Email Analytics,0,1,Quantitative/Analytics
709,Email Lists,4,1,Other
711,Lists,67,3,Other
713,SMS,7,1,Communication
722,Appointment Scheduling,1,1,Other
723,Casualty Insurance,0,1,Other
725,Customer-Focused Service,0,2,Sales
727,People-Oriented,15,4,Other
741,Brand Identity,8,1,Brand
742,Diplomacy,3,1,Communication
743,Event Management,4,2,Strategy/Planning/Management
745,Managing Meetings,0,1,Other
747,Rooming Lists,0,1,Other
754,Marketing Research,4,1,Market Research
764,Retail Sales,7,3,Sales
765,Sales Management,4,2,Sales
767,Graphic Design Principles,3,1,Graphic Design/Visual
768,HTML,27,3,Technology
769,On-Page Optimization,1,1,Technology
771,Optimization Techniques,1,1,Quantitative/Analytics
772,Responsive Web Design,1,1,Graphic Design/Visual
773,User Behavior,2,1,Other
775,Web Design,2,3,Graphic Design/Visual
776,WordPress,28,2,Other
782,Scanning Electron Microscopy (SEM),0,1,Other
785,White Papers,4,1,Content/Writing
796,Creative Direction,2,1,Other
797,Cross-functional Team Leadership,1,1,Strategy/Planning/Management
798,Inspiration,7,1,Other
799,Liberal Arts,3,1,Other
804,Target Audience,47,3,Other
807,Creativity Skills,0,2,Communication
810,Marketing Literature,1,1,Strategy/Planning/Management
812,Telemarketing,11,2,Other
814,Adobe Creative Cloud,11,2,Graphic Design/Visual
815,Communication Training,0,11,Communication
821,Proposal Writing,0,1,Content/Writing
823,Carnival,1,1,Other
824,Content Design,3,1,Content/Writing
826,Creative Design,3,1,Graphic Design/Visual
828,Social Advertising (Social Issues),0,1,Social Media/Digital
829,Social Media Advertising,5,2,Social Media/Digital
831,Voice Acting,0,1,Other
832,Cold Calling,2,2,Sales
835,Liability,7,2,Other
