industry_group,skill_name,skill_group,skill_count
"Advertising and Marketing","Phone Etiquette",Communication,3
"Construction and Real Estate","Phone Etiquette",Communication,2
"Financial Services","Phone Etiquette",Communication,1
"Health and Medical","Phone Etiquette",Communication,1
"Human Resources and Staffing","Phone Etiquette",Communication,2
"Technology and Telecommunications","Phone Etiquette",Communication,1
"Travel and Tourism","Phone Etiquette",Communication,1
"Advertising and Marketing","Photo Shoots",Other,1
Manufacturing,"Photo Shoots",Other,1
"Construction and Real Estate",Photography,"Graphic Design/Visual",1
"Education and Training",Photography,"Graphic Design/Visual",1
"Advertising and Marketing","Pivot Tables",Quantitative/Analytics,1
"Financial Services","Pivot Tables",Quantitative/Analytics,1
"Health and Medical","Pivot Tables",Quantitative/Analytics,1
"Health and Medical","Platform Management",Strategy/Planning/Management,1
"Advertising and Marketing","Positioning (Marketing)",Strategy/Planning/Management,1
"Retail and Wholesale",Pre-production,Other,1
"Advertising and Marketing","Presentation Skills",Communication,6
"Business and Information Technology","Presentation Skills",Communication,1
"Education and Training","Presentation Skills",Communication,1
"Environmental and Energy","Presentation Skills",Communication,1
"Health and Medical","Presentation Skills",Communication,1
"Advertising and Marketing",Presentations,Communication,19
"Automotive and Transportation",Presentations,Communication,2
"Business and Information Technology",Presentations,Communication,2
"Construction and Real Estate",Presentations,Communication,3
"Education and Training",Presentations,Communication,3
"Environmental and Energy",Presentations,Communication,1
"Food and Beverage",Presentations,Communication,1
"Health and Medical",Presentations,Communication,3
"Human Resources and Staffing",Presentations,Communication,10
Manufacturing,Presentations,Communication,2
Others,Presentations,Communication,1
"Retail and Wholesale",Presentations,Communication,2
"Travel and Tourism",Presentations,Communication,1
"Advertising and Marketing","Press Releases",Other,7
"Construction and Real Estate","Press Releases",Other,1
"Entertainment and Recreation","Press Releases",Other,2
"Financial Services","Press Releases",Other,1
"Government and Public Services","Press Releases",Other,1
"Health and Medical","Press Releases",Other,1
"Human Resources and Staffing","Press Releases",Other,2
"Non-profit and Social Services","Press Releases",Other,1
"Retail and Wholesale","Press Releases",Other,1
"Human Resources and Staffing","Print Collateral",Other,1
"Human Resources and Staffing","Print Marketing",Content/Writing,1
"Advertising and Marketing","Problem Solving",Strategy/Planning/Management,20
"Construction and Real Estate","Problem Solving",Strategy/Planning/Management,4
"Education and Training","Problem Solving",Strategy/Planning/Management,2
"Financial Services","Problem Solving",Strategy/Planning/Management,2
"Health and Medical","Problem Solving",Strategy/Planning/Management,1
"Human Resources and Staffing","Problem Solving",Strategy/Planning/Management,11
Manufacturing,"Problem Solving",Strategy/Planning/Management,1
Others,"Problem Solving",Strategy/Planning/Management,1
"Technology and Telecommunications","Problem Solving",Strategy/Planning/Management,3
"Travel and Tourism","Problem Solving",Strategy/Planning/Management,2
"Architecture and Design",Procore,Other,1
"Construction and Real Estate",Procore,Other,1
"Food and Beverage",Procurement,Other,1
Others,"Product Branding",Brand,1
"Advertising and Marketing","Product Demonstration",Other,4
"Retail and Wholesale","Product Development",Strategy/Planning/Management,1
"Advertising and Marketing","Product Knowledge",Brand,8
"Human Resources and Staffing","Product Knowledge",Brand,1
"Human Resources and Staffing","Product Launch",Brand,1
"Human Resources and Staffing","Product Lifecycle Management",Strategy/Planning/Management,1
"Technology and Telecommunications","Product Management",Strategy/Planning/Management,2
"Advertising and Marketing","Product Marketing",Strategy/Planning/Management,4
"Health and Medical","Product Marketing",Strategy/Planning/Management,6
"Human Resources and Staffing","Product Marketing",Strategy/Planning/Management,3
Manufacturing,"Product Marketing",Strategy/Planning/Management,1
Others,"Product Marketing",Strategy/Planning/Management,1
"Technology and Telecommunications","Product Marketing",Strategy/Planning/Management,2
"Advertising and Marketing","Product Presentation",Communication,2
"Technology and Telecommunications","Product Presentation",Communication,1
"Food and Beverage","Product Promotion",Other,1
"Advertising and Marketing","Product Service",Other,1
"Advertising and Marketing","Product Training",Other,1
"Advertising and Marketing","Production Assistance",Other,1
"Advertising and Marketing","Production Processes",Other,1
"Travel and Tourism","Professional Liability",Other,1
"Architecture and Design","Professional Skills",Communication,1
"Food and Beverage","Professional Skills",Communication,1
"Education and Training","Program Management",Strategy/Planning/Management,1
"Technology and Telecommunications","Project Analysis",Quantitative/Analytics,1
"Architecture and Design","Project Coordination",Strategy/Planning/Management,1
"Human Resources and Staffing","Project Coordination",Strategy/Planning/Management,2
"Architecture and Design","Project Implementation",Strategy/Planning/Management,1
"Construction and Real Estate","Project Implementation",Strategy/Planning/Management,1
"Human Resources and Staffing","Project Implementation",Strategy/Planning/Management,1
"Environmental and Energy","Project Initiation",Strategy/Planning/Management,1
"Architecture and Design","Project Management Software",Strategy/Planning/Management,1
"Health and Medical","Project Performance",Strategy/Planning/Management,1
"Human Resources and Staffing","Project Planning",Strategy/Planning/Management,1
"Government and Public Services","Project Plans",Strategy/Planning/Management,1
"Advertising and Marketing","Promotional Marketing",Sales,3
"Non-profit and Social Services","Promotional Videos","Graphic Design/Visual",1
"Construction and Real Estate",Proofreading,Content/Writing,1
"Entertainment and Recreation",Proofreading,Content/Writing,1
"Human Resources and Staffing",Proofreading,Content/Writing,1
Others,Proofreading,Content/Writing,1
"Technology and Telecommunications",Proofreading,Content/Writing,1
"Construction and Real Estate","Property Inspections",Other,1
"Construction and Real Estate","Property Management",Strategy/Planning/Management,1
"Health and Medical","Proposal Writing",Content/Writing,1
"Advertising and Marketing",Psychology,Other,1
"Education and Training","Public Access",Communication,1
"Government and Public Services","Public Communications",Communication,1
"Government and Public Services","Public Law",Other,1
"Advertising and Marketing","Public Relations",Communication,25
"Automotive and Transportation","Public Relations",Communication,2
"Business and Information Technology","Public Relations",Communication,1
"Construction and Real Estate","Public Relations",Communication,2
"Education and Training","Public Relations",Communication,2
"Food and Beverage","Public Relations",Communication,1
"Government and Public Services","Public Relations",Communication,1
"Health and Medical","Public Relations",Communication,5
"Human Resources and Staffing","Public Relations",Communication,14
Manufacturing,"Public Relations",Communication,2
"Non-profit and Social Services","Public Relations",Communication,3
"Travel and Tourism","Public Relations",Communication,1
"Advertising and Marketing","Public Speaking",Communication,4
"Retail and Wholesale",Punctuation,Other,1
"Advertising and Marketing","Purchase Orders",Other,2
"Retail and Wholesale","Purchase Orders",Other,1
"Advertising and Marketing","Quality Control",Other,1
"Technology and Telecommunications","Quality Processes",Other,1
"Human Resources and Staffing","Quantitative Analytics",Quantitative/Analytics,1
"Retail and Wholesale","Quantitative Analytics",Quantitative/Analytics,1
"Technology and Telecommunications","Quantitative Research",Quantitative/Analytics,1
"Travel and Tourism","Quick Thinking",Strategy/Planning/Management,1
"Advertising and Marketing",Quote,Content/Writing,1
"Advertising and Marketing",React.js,Technology,1
"Travel and Tourism","Realistic Animation","Graphic Design/Visual",1
"Advertising and Marketing","Receptionist Duties",Communication,1
"Construction and Real Estate","Receptionist Duties",Communication,1
"Financial Services","Receptionist Duties",Communication,1
"Travel and Tourism","Receptionist Duties",Communication,1
"Education and Training","Record Keeping",Other,1
"Education and Training",Recruiting,Other,2
"Financial Services",Recruiting,Other,1
"Human Resources and Staffing",Recruiting,Other,1
"Retail and Wholesale",Redash,Other,1
"Health and Medical",REDCap,Other,2
"Retail and Wholesale",Refunds,Other,1
"Travel and Tourism",Refunds,Other,1
"Advertising and Marketing","Relationship Building",Sales,7
"Education and Training","Relationship Building",Sales,1
"Advertising and Marketing","Relationship Development",Sales,2
"Education and Training","Relationship Development",Sales,2
"Human Resources and Staffing","Relationship Development",Sales,1
"Health and Medical","Report Writing",Content/Writing,1
Manufacturing,"Report Writing",Content/Writing,1
"Advertising and Marketing",Reporting,Quantitative/Analytics,3
"Architecture and Design",Reporting,Quantitative/Analytics,1
"Business and Information Technology",Reporting,Quantitative/Analytics,1
"Health and Medical",Reporting,Quantitative/Analytics,1
"Retail and Wholesale",Reporting,Quantitative/Analytics,1
"Technology and Telecommunications",Reporting,Quantitative/Analytics,1
"Advertising and Marketing","Reporting Requirements",Other,1
"Architecture and Design","Request for Information (RFI)",Other,1
"Construction and Real Estate","Request for Proposal (RFP)",Brand,1
"Advertising and Marketing","Research Skills",Communication,2
"Education and Training","Research Skills",Communication,1
"Human Resources and Staffing","Research Skills",Communication,1
"Travel and Tourism","Research Skills",Communication,1
"Construction and Real Estate","Residential Construction",Other,1
"Entertainment and Recreation",Resolutions,Other,1
"Business and Information Technology","Responsive Web Design","Graphic Design/Visual",1
"Advertising and Marketing","Retail Marketing",Sales,1
"Retail and Wholesale","Retail Math",Quantitative/Analytics,2
"Advertising and Marketing","Retail Operations",Other,1
"Advertising and Marketing","Retail Sales",Sales,2
"Human Resources and Staffing","Retail Sales",Sales,1
"Advertising and Marketing","Revenue Generation",Other,1
"Entertainment and Recreation","Revenue Generation",Other,1
"Construction and Real Estate",Revit,Other,1
"Business and Information Technology","Rooming Lists",Other,1
"Advertising and Marketing","Sales & Marketing Leadership",Sales,1
"Advertising and Marketing","Sales and Marketing",Sales,20
"Business and Information Technology","Sales and Marketing",Sales,2
"Construction and Real Estate","Sales and Marketing",Sales,1
"Financial Services","Sales and Marketing",Sales,1
"Food and Beverage","Sales and Marketing",Sales,1
"Health and Medical","Sales and Marketing",Sales,2
"Human Resources and Staffing","Sales and Marketing",Sales,10
Manufacturing,"Sales and Marketing",Sales,1
"Travel and Tourism","Sales and Marketing",Sales,1
"Advertising and Marketing","Sales Campaigns",Sales,3
"Health and Medical","Sales Contracts",Sales,1
"Technology and Telecommunications","Sales Enablement",Sales,2
Manufacturing,"Sales Execution",Sales,1
"Automotive and Transportation","Sales Letters",Sales,1
"Advertising and Marketing","Sales Management",Sales,1
"Human Resources and Staffing","Sales Management",Sales,1
"Advertising and Marketing","Sales Marketing",Sales,1
"Advertising and Marketing","Sales Meetings",Sales,2
"Environmental and Energy","Sales Meetings",Sales,1
"Human Resources and Staffing","Sales Meetings",Sales,1
"Health and Medical","Sales Negotiation",Sales,1
"Advertising and Marketing","Sales Operations",Sales,4
"Human Resources and Staffing","Sales Operations",Sales,2
"Advertising and Marketing","Sales Planning",Sales,1
"Advertising and Marketing","Sales Presentations",Sales,4
"Automotive and Transportation","Sales Presentations",Sales,1
"Human Resources and Staffing","Sales Presentations",Sales,1
"Advertising and Marketing","Sales Processes",Sales,3
"Business and Information Technology","Sales Processes",Sales,1
"Construction and Real Estate","Sales Processes",Sales,1
"Entertainment and Recreation","Sales Processes",Sales,1
"Financial Services","Sales Processes",Sales,1
"Retail and Wholesale","Sales Processes",Sales,1
"Advertising and Marketing","Sales Promotion",Sales,4
"Advertising and Marketing","Sales Strategy",Sales,4
"Advertising and Marketing","Sales Target Management",Sales,1
"Human Resources and Staffing","Salesforce Quip",Quantitative/Analytics,1
"Business and Information Technology",Salesforce.com,Quantitative/Analytics,1
"Human Resources and Staffing",Salesforce.com,Quantitative/Analytics,1
"Human Resources and Staffing","Salesforce.com Development",Quantitative/Analytics,1
"Retail and Wholesale","Sample Development",Strategy/Planning/Management,1
"Human Resources and Staffing","Scanning Electron Microscopy (SEM)",Other,1
"Education and Training",Scouting,Other,1
"Advertising and Marketing","Search Engine Marketing (SEM)","Social Media/Digital",1
"Entertainment and Recreation","Search Engine Marketing (SEM)","Social Media/Digital",1
"Human Resources and Staffing","Search Engine Marketing (SEM)","Social Media/Digital",1
"Advertising and Marketing","Search Engine Optimization (SEO)",Technology,3
"Business and Information Technology","Search Engine Optimization (SEO)",Technology,1
"Construction and Real Estate","Search Engine Optimization (SEO)",Technology,1
"Education and Training","Search Engine Optimization (SEO)",Technology,1
"Entertainment and Recreation","Search Engine Optimization (SEO)",Technology,1
"Environmental and Energy","Search Engine Optimization (SEO)",Technology,5
"Financial Services","Search Engine Optimization (SEO)",Technology,1
"Human Resources and Staffing","Search Engine Optimization (SEO)",Technology,5
Manufacturing,"Search Engine Optimization (SEO)",Technology,1
"Human Resources and Staffing","Security Protocols",Technology,1
"Retail and Wholesale",Seeding,Strategy/Planning/Management,2
"Advertising and Marketing",Self-confidence,Other,1
"Construction and Real Estate",SEMrush,Other,1
"Human Resources and Staffing","Sensitive Information",Other,1
"Advertising and Marketing","Service Orders",Other,1
"Construction and Real Estate","Service Orientation (Social)",Communication,1
"Non-profit and Social Services","Service Standards",Other,1
"Financial Services","Services Sales",Sales,1
"Food and Beverage",Shopify,"Social Media/Digital",1
"Non-profit and Social Services","Silver Sneakers",Other,1
"Human Resources and Staffing","Site Maps",Other,1
"Human Resources and Staffing",Sketching,Other,1
"Advertising and Marketing","Skill Development",Technology,4
"Business and Information Technology","Skill Development",Technology,1
"Construction and Real Estate","Skill Development",Technology,1
"Entertainment and Recreation","Skill Development",Technology,1
"Advertising and Marketing","Skilled Multi-tasker",Other,7
"Architecture and Design","Skilled Multi-tasker",Other,1
"Construction and Real Estate","Skilled Multi-tasker",Other,1
"Food and Beverage","Skilled Multi-tasker",Other,1
"Health and Medical","Skilled Multi-tasker",Other,1
"Human Resources and Staffing","Skilled Multi-tasker",Other,2
Others,"Skilled Multi-tasker",Other,1
"Retail and Wholesale","Skilled Multi-tasker",Other,1
"Health and Medical","Skin Care",Other,1
"Advertising and Marketing",SMS,Communication,1
"Travel and Tourism","Social Advertising (Social Issues)","Social Media/Digital",1
"Advertising and Marketing","Social Media","Social Media/Digital",15
"Business and Information Technology","Social Media","Social Media/Digital",5
"Construction and Real Estate","Social Media","Social Media/Digital",3
"Education and Training","Social Media","Social Media/Digital",5
"Entertainment and Recreation","Social Media","Social Media/Digital",1
"Environmental and Energy","Social Media","Social Media/Digital",5
"Food and Beverage","Social Media","Social Media/Digital",3
"Health and Medical","Social Media","Social Media/Digital",10
"Human Resources and Staffing","Social Media","Social Media/Digital",20
Manufacturing,"Social Media","Social Media/Digital",3
"Non-profit and Social Services","Social Media","Social Media/Digital",1
"Retail and Wholesale","Social Media","Social Media/Digital",1
"Travel and Tourism","Social Media","Social Media/Digital",4
"Business and Information Technology","Social Media Advertising","Social Media/Digital",1
"Travel and Tourism","Social Media Advertising","Social Media/Digital",1
"Human Resources and Staffing","Social Media Communications","Social Media/Digital",1
"Education and Training","Social Media Content Creation",Content/Writing,2
"Food and Beverage","Social Media Management","Social Media/Digital",2
"Health and Medical","Social Media Management","Social Media/Digital",1
Manufacturing,"Social Media Management","Social Media/Digital",1
"Advertising and Marketing","Social Media Marketing","Social Media/Digital",12
"Business and Information Technology","Social Media Marketing","Social Media/Digital",2
"Construction and Real Estate","Social Media Marketing","Social Media/Digital",2
"Education and Training","Social Media Marketing","Social Media/Digital",2
"Entertainment and Recreation","Social Media Marketing","Social Media/Digital",1
"Food and Beverage","Social Media Marketing","Social Media/Digital",1
"Health and Medical","Social Media Marketing","Social Media/Digital",5
"Human Resources and Staffing","Social Media Marketing","Social Media/Digital",15
Manufacturing,"Social Media Marketing","Social Media/Digital",2
"Non-profit and Social Services","Social Media Marketing","Social Media/Digital",1
"Retail and Wholesale","Social Media Marketing","Social Media/Digital",1
"Food and Beverage","Social Media Optimization (SMO)","Social Media/Digital",1
"Health and Medical","Social Media Optimization (SMO)","Social Media/Digital",1
"Travel and Tourism","Social Media Strategy","Social Media/Digital",1
"Construction and Real Estate","Social Networking",Communication,1
"Entertainment and Recreation","Social Trends","Social Media/Digital",1
"Advertising and Marketing",Sociology,Other,1
"Human Resources and Staffing","Software as a Service (SaaS)",Technology,1
"Human Resources and Staffing","Software Project Management",Strategy/Planning/Management,1
"Construction and Real Estate","Solid Professional Standards",Communication,1
"Human Resources and Staffing","Solid Professional Standards",Communication,1
Others,"Solid Professional Standards",Communication,1
"Technology and Telecommunications","Solid Professional Standards",Communication,1
"Advertising and Marketing",Solution-oriented,Other,2
"Human Resources and Staffing",Solution-oriented,Other,1
"Technology and Telecommunications",Solution-oriented,Other,1
"Advertising and Marketing","Special Events",Strategy/Planning/Management,3
"Health and Medical","Special Events",Strategy/Planning/Management,1
"Travel and Tourism","Special Events",Strategy/Planning/Management,1
"Advertising and Marketing","Special Events Coordination",Strategy/Planning/Management,1
"Travel and Tourism","Special Events Coordination",Strategy/Planning/Management,1
"Non-profit and Social Services",Spelling,Content/Writing,1
"Retail and Wholesale",Spelling,Content/Writing,1
"Advertising and Marketing",Sponsorship,Other,1
"Advertising and Marketing",Sports,Other,2
"Education and Training",Sports,Other,1
Manufacturing,Sports,Other,1
"Education and Training","Sports Coaching",Other,1
Manufacturing,"Sports Industry",Other,1
"Advertising and Marketing","Sports Management",Strategy/Planning/Management,1
Manufacturing,"Sports Marketing",Other,1
"Health and Medical",Spreadsheets,Other,1
"Human Resources and Staffing",Spreadsheets,Other,1
Others,Spreadsheets,Other,1
Others,Startups,Other,1
"Health and Medical","Statistical Analysis",Quantitative/Analytics,2
"Technology and Telecommunications","Statistical Tools",Quantitative/Analytics,1
"Retail and Wholesale","Stock Management",Strategy/Planning/Management,1
"Human Resources and Staffing","Store Management",Strategy/Planning/Management,1
"Construction and Real Estate",Story,"Social Media/Digital",1
"Education and Training",Story,"Social Media/Digital",1
"Health and Medical",Story,"Social Media/Digital",1
"Education and Training",Storytelling,"Graphic Design/Visual",1
"Advertising and Marketing","Strategic Business",Strategy/Planning/Management,1
"Advertising and Marketing","Strategic Communications",Communication,10
"Automotive and Transportation","Strategic Communications",Communication,1
"Construction and Real Estate","Strategic Communications",Communication,1
"Government and Public Services","Strategic Communications",Communication,1
"Health and Medical","Strategic Communications",Communication,1
"Non-profit and Social Services","Strategic Communications",Communication,1
"Food and Beverage","Strategic Initiatives",Strategy/Planning/Management,1
"Advertising and Marketing","Strategic Marketing",Strategy/Planning/Management,1
"Advertising and Marketing","Strategic Thinking",Strategy/Planning/Management,2
"Retail and Wholesale","Strategic Thinking",Strategy/Planning/Management,2
"Advertising and Marketing",Strategy,Strategy/Planning/Management,8
"Education and Training",Strategy,Strategy/Planning/Management,1
"Entertainment and Recreation",Strategy,Strategy/Planning/Management,1
"Financial Services",Strategy,Strategy/Planning/Management,1
"Human Resources and Staffing",Strategy,Strategy/Planning/Management,4
Manufacturing,Strategy,Strategy/Planning/Management,3
"Technology and Telecommunications",Strategy,Strategy/Planning/Management,2
"Travel and Tourism",Strategy,Strategy/Planning/Management,2
"Advertising and Marketing",Streamlining,Other,1
"Education and Training","Student Recruiting",Other,1
"Human Resources and Staffing",Styling,"Graphic Design/Visual",1
"Retail and Wholesale",Styling,"Graphic Design/Visual",1
"Health and Medical","Subject Matter Experts",Other,1
Others,"Subject Matter Experts",Other,1
"Health and Medical",Subrogation,Other,5
"Advertising and Marketing","Success Stories",Other,1
"Advertising and Marketing","Supervisory Skills",Communication,1
"Education and Training","Supervisory Skills",Communication,1
"Government and Public Services","Supervisory Skills",Communication,1
"Food and Beverage","Supplier Performance",Other,1
"Human Resources and Staffing","Talent Management",Strategy/Planning/Management,1
"Advertising and Marketing","Target Audience",Other,2
"Health and Medical","Target Audience",Other,1
"Advertising and Marketing","Task Completion",Other,1
"Advertising and Marketing","Team Building",Communication,1
"Advertising and Marketing","Team Development",Strategy/Planning/Management,1
"Advertising and Marketing","Team Leadership",Strategy/Planning/Management,3
"Health and Medical","Team Leadership",Strategy/Planning/Management,1
"Human Resources and Staffing","Team Leadership",Strategy/Planning/Management,1
"Technology and Telecommunications","Team Leadership",Strategy/Planning/Management,1
"Advertising and Marketing","Team Management",Strategy/Planning/Management,1
Others,"Team Management",Strategy/Planning/Management,1
"Technology and Telecommunications","Team Management",Strategy/Planning/Management,1
"Retail and Wholesale","Team Motivation",Strategy/Planning/Management,1
"Advertising and Marketing","Team Performance",Strategy/Planning/Management,1
"Advertising and Marketing",Teamwork,Communication,22
"Food and Beverage",Teamwork,Communication,1
"Health and Medical",Teamwork,Communication,1
"Human Resources and Staffing",Teamwork,Communication,12
Manufacturing,Teamwork,Communication,2
"Retail and Wholesale",Teamwork,Communication,1
"Travel and Tourism",Teamwork,Communication,2
"Human Resources and Staffing","Technical Execution",Other,1
"Business and Information Technology","Technical Requirements",Other,1
"Construction and Real Estate","Technical Services",Other,1
"Technology and Telecommunications","Technical Support",Other,1
"Architecture and Design","Technical Writing",Content/Writing,1
"Advertising and Marketing",Telecommunications,Other,2
"Business and Information Technology",Telemarketing,Other,1
Others,Telemarketing,Other,1
"Human Resources and Staffing",Television,Other,1
Others,"Termination of Employment",Other,1
"Advertising and Marketing","Territory Management",Sales,1
"Human Resources and Staffing","Test Planning",Technology,1
"Human Resources and Staffing","Test Requirements",Other,1
"Food and Beverage","Text Marketing",Strategy/Planning/Management,1
"Advertising and Marketing","Thinking Skills",Strategy/Planning/Management,1
"Architecture and Design","Thinking Skills",Strategy/Planning/Management,1
"Human Resources and Staffing","Thinking Skills",Strategy/Planning/Management,1
"Technology and Telecommunications","Thinking Skills",Strategy/Planning/Management,1
"Travel and Tourism","Thorough Research","Market Research",1
"Health and Medical","Thought Leadership",Strategy/Planning/Management,5
"Human Resources and Staffing",Timelines,Other,1
"Education and Training","Title IX",Other,2
"Human Resources and Staffing","Tone of Voice",Other,1
"Travel and Tourism","Tour Production",Other,1
Manufacturing,"Trade Marketing",Strategy/Planning/Management,1
"Business and Information Technology","Trade Shows",Other,1
"Technology and Telecommunications","Trademark Law",Other,1
"Advertising and Marketing",Training,Other,9
"Education and Training",Training,Other,1
"Government and Public Services",Training,Other,1
"Health and Medical",Training,Other,1
"Human Resources and Staffing",Training,Other,8
"Retail and Wholesale",Training,Other,1
"Technology and Telecommunications",Training,Other,1
"Travel and Tourism",Training,Other,2
"Advertising and Marketing","Training Management",Strategy/Planning/Management,1
"Government and Public Services","Training Programs",Other,1
"Travel and Tourism","Training Programs",Other,1
"Travel and Tourism","Travel Agencies",Other,1
"Advertising and Marketing","Travel Arrangements",Strategy/Planning/Management,2
"Financial Services","Travel Arrangements",Strategy/Planning/Management,1
Manufacturing,"Travel Marketing",Strategy/Planning/Management,1
"Advertising and Marketing",Troubleshooting,Other,1
"Construction and Real Estate",Truck,Other,1
"Advertising and Marketing","Trusting Relationships",Communication,1
"Human Resources and Staffing","TV Production",Other,1
"Government and Public Services","U.S. Department of Agriculture (USDA)",Other,1
"Construction and Real Estate",Unanet,"Social Media/Digital",1
"Advertising and Marketing",Upselling,Sales,2
"Business and Information Technology","User Behavior",Other,1
"Human Resources and Staffing","User Experience (UX)","Graphic Design/Visual",1
"Human Resources and Staffing","User Interface Design","Graphic Design/Visual",2
"Business and Information Technology","User Research",Other,1
"Health and Medical","Value Propositions",Other,5
"Business and Information Technology","Value Selling",Sales,1
"Human Resources and Staffing","Variance Analysis",Quantitative/Analytics,1
"Advertising and Marketing","VBA Excel",Other,1
"Architecture and Design","VBA Excel",Other,1
"Advertising and Marketing","Vendor Management",Strategy/Planning/Management,2
"Advertising and Marketing","Vendor Relations",Other,1
"Human Resources and Staffing","Vendor Relations",Other,1
"Business and Information Technology","Video Editing","Graphic Design/Visual",1
"Human Resources and Staffing","Video Editing","Graphic Design/Visual",1
"Health and Medical","Video Production","Graphic Design/Visual",1
"Human Resources and Staffing","Video Production","Graphic Design/Visual",2
"Construction and Real Estate","Virtual Tours",Other,1
"Advertising and Marketing","Visual Merchandising","Graphic Design/Visual",5
"Human Resources and Staffing","Visual Merchandising","Graphic Design/Visual",1
"Travel and Tourism","Voice Acting",Other,1
"Advertising and Marketing",Volunteering,Other,1
"Advertising and Marketing","Web Analytics",Quantitative/Analytics,1
"Business and Information Technology","Web Analytics",Quantitative/Analytics,1
"Construction and Real Estate","Web Analytics",Quantitative/Analytics,1
"Human Resources and Staffing","Web Analytics",Quantitative/Analytics,4
Others,"Web Analytics",Quantitative/Analytics,1
"Advertising and Marketing","Web Conferencing",Technology,1
"Environmental and Energy","Web Conferencing",Technology,5
"Construction and Real Estate","Web Content Management",Content/Writing,1
"Business and Information Technology","Web Content Writing",Content/Writing,1
"Construction and Real Estate","Web Content Writing",Content/Writing,1
"Education and Training","Web Content Writing",Content/Writing,1
"Entertainment and Recreation","Web Content Writing",Content/Writing,1
"Government and Public Services","Web Content Writing",Content/Writing,1
"Health and Medical","Web Content Writing",Content/Writing,1
"Human Resources and Staffing","Web Content Writing",Content/Writing,2
"Retail and Wholesale","Web Content Writing",Content/Writing,1
"Business and Information Technology","Web Design","Graphic Design/Visual",1
"Human Resources and Staffing","Web Design","Graphic Design/Visual",2
"Facilities and Maintenance","Web Technologies",Technology,1
"Travel and Tourism","Wedding Coordinating",Strategy/Planning/Management,1
"Travel and Tourism","Wedding Planning",Strategy/Planning/Management,1
"Travel and Tourism",Weddings,Other,1
"Human Resources and Staffing","White Papers",Content/Writing,1
"Human Resources and Staffing","Window Displays",Other,1
"Business and Information Technology",WordPress,Other,1
"Construction and Real Estate",WordPress,Other,1
"Technology and Telecommunications","Work Alone",Other,1
"Architecture and Design","Working Experience","Graphic Design/Visual",1
"Construction and Real Estate","Working Experience","Graphic Design/Visual",2
"Education and Training","Working Experience","Graphic Design/Visual",1
"Technology and Telecommunications","Working with Offenders",Sales,1
"Advertising and Marketing","Workload Prioritization",Other,1
"Human Resources and Staffing","Workload Prioritization",Other,1
"Advertising and Marketing",Writing,Content/Writing,4
"Architecture and Design",Writing,Content/Writing,1
"Automotive and Transportation",Writing,Content/Writing,1
"Business and Information Technology",Writing,Content/Writing,2
"Construction and Real Estate",Writing,Content/Writing,3
"Education and Training",Writing,Content/Writing,4
"Entertainment and Recreation",Writing,Content/Writing,1
"Environmental and Energy",Writing,Content/Writing,5
"Government and Public Services",Writing,Content/Writing,1
"Health and Medical",Writing,Content/Writing,4
"Human Resources and Staffing",Writing,Content/Writing,5
Manufacturing,Writing,Content/Writing,1
"Non-profit and Social Services",Writing,Content/Writing,1
"Retail and Wholesale",Writing,Content/Writing,1
"Technology and Telecommunications",Writing,Content/Writing,1
"Advertising and Marketing","Written Communication",Communication,9
"Business and Information Technology","Written Communication",Communication,1
"Construction and Real Estate","Written Communication",Communication,2
"Environmental and Energy","Written Communication",Communication,1
"Human Resources and Staffing","Written Communication",Communication,1
"Non-profit and Social Services","Written Communication",Communication,1
"Retail and Wholesale","Written Communication",Communication,1
"Technology and Telecommunications","Written Communication",Communication,1
"Construction and Real Estate",Yext,"Social Media/Digital",1
"Construction and Real Estate",YouTube,"Social Media/Digital",1
